First Asset Preferred Share ETF | FPR | Volume: 4749 | Value: 22.50 | Open: 22.46 | High: 22.50 | SharesOut.: 2995078 | Beta: 0.235 | Prev.Close: 22.46 | Low: 22.46 | MarketCap: 67389255 | VWAP: 22.482609 | Dividend: 0.077CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.096 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset Short Term Government Bond Index Class ETF | FGB | Volume: 0 | Value: 18.90 | Open: N/A | High: N/A | SharesOut.: 1400000 | Beta: -0.018 | Prev.Close: 18.90 | Low: N/A | MarketCap: 26460000 | VWAP: N/A | Dividend: 0.031CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.068 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset Tech Giants Covered Call ETF | TXF | Volume: 102170 | Value: 17.03 | Open: 17.39 | High: 17.43 | SharesOut.: 16848997 | Beta: 0.907 | Prev.Close: 17.33 | Low: 17.01 | MarketCap: 286938419 | VWAP: 17.283448 | Dividend: 0.347CAD | Div.Frequency: Quarterly | P/ERatio: 25.600 | EPS: N/A | Yield: 6.318 | Ex-DivDate: 06/22/2018 | P/BRatio: 4.960 | Exchange: TSX | 
First Asset U.S. & Canada Lifeco Income ETF | FLI | Volume: 30294 | Value: 11.60 | Open: 11.80 | High: 11.81 | SharesOut.: 16875890 | Beta: 0.647 | Prev.Close: 11.79 | Low: 11.59 | MarketCap: 195760324 | VWAP: 11.709369 | Dividend: 0.184CAD | Div.Frequency: Quarterly | P/ERatio: 9.500 | EPS: N/A | Yield: 5.915 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.113 | Exchange: TSX | 
First Asset U.S. Buyback Index ETF | FBU | Volume: 246 | Value: 26.48 | Open: 26.79 | High: 26.79 | SharesOut.: 950000 | Beta: 0.790 | Prev.Close: 26.73 | Low: 26.48 | MarketCap: 25156000 | VWAP: 26.635 | Dividend: 0.057CAD | Div.Frequency: Quarterly | P/ERatio: 16.000 | EPS: N/A | Yield: 0.966 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.710 | Exchange: TSX | 
First Asset U.S. Tactical Sector Allocation Index ETF | FUT | Volume: 0 | Value: 22.59 | Open: N/A | High: N/A | SharesOut.: 350000 | Beta: 0.449 | Prev.Close: 22.59 | Low: N/A | MarketCap: 7906500 | VWAP: N/A | Dividend: 0.045CAD | Div.Frequency: Quarterly | P/ERatio: 20.800 | EPS: N/A | Yield: 0.993 | Ex-DivDate: 06/22/2018 | P/BRatio: 3.390 | Exchange: TSX | 
First Asset U.S. TrendLeaders Index ETF | SID | Volume: 3661 | Value: 22.80 | Open: 23.25 | High: 23.25 | SharesOut.: 2850000 | Beta: 0.316 | Prev.Close: 23.11 | Low: 22.80 | MarketCap: 64980000 | VWAP: 23.055000 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 31.200 | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 6.220 | Exchange: TSX | 
First Capital Realty Inc. | FCR | Volume: 362749 | Value: 20.68 | Open: 20.85 | High: 20.91 | SharesOut.: 244889516 | Beta: 0.495 | Prev.Close: 20.80 | Low: 20.68 | MarketCap: 5064315191 | VWAP: 20.756627 | Dividend: 0.215CAD | Div.Frequency: Quarterly | P/ERatio: 10.200 | EPS: 2.030000 | Yield: 4.159 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.084 | Exchange: TSX | 
First Majestic Silver Corp. | FR | Volume: 356918 | Value: 9.96 | Open: 9.95 | High: 10.16 | SharesOut.: 193098782 | Beta: 2.853 | Prev.Close: 10.03 | Low: 9.92 | MarketCap: 1923263869 | VWAP: 10.013578 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.420000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.417 | Exchange: TSX | 
First Mining Gold Corp. | FF | Volume: 371485 | Value: 0.46 | Open: 0.435 | High: 0.46 | SharesOut.: 557471616 | Beta: 2.247 | Prev.Close: 0.445 | Low: 0.435 | MarketCap: 256436943 | VWAP: 0.449629 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.958 | Exchange: TSX | 
