Dream Hard Asset Alternatives Trust | DRA.UN | Volume: 62785 | Value: 6.88 | Open: 6.94 | High: 6.97 | SharesOut.: 72334376 | Beta: 0.430 | Prev.Close: 6.94 | Low: 6.85 | MarketCap: 497660507 | VWAP: 6.887751 | Dividend: 0.033CAD | Div.Frequency: Monthly | P/ERatio: 35.100 | EPS: N/A | Yield: 5.813 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.821 | Exchange: TSX | 
Dream Industrial Real Estate Investment Trust | DIR.DB | Volume: 52000 | Value: 100.20 | Open: 100.20 | High: 100.50 | SharesOut.: 862500 | Beta: 0.257 | Prev.Close: 100.50 | Low: 100.19 | MarketCap: 86422500 | VWAP: 100.204038 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Dream Office Real Estate Investment Trust | D.UN | Volume: 138944 | Value: 23.48 | Open: 23.41 | High: 23.71 | SharesOut.: 60188083 | Beta: 0.802 | Prev.Close: 23.42 | Low: 23.41 | MarketCap: 1413216189 | VWAP: 23.548683 | Dividend: 0.083CAD | Div.Frequency: Monthly | P/ERatio: 16.500 | EPS: N/A | Yield: 4.259 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.707 | Exchange: TSX | 
DREAM Unlimited Corp. | DRM | Volume: 29999 | Value: 9.77 | Open: 9.81 | High: 9.91 | SharesOut.: 105499556 | Beta: 1.121 | Prev.Close: 9.77 | Low: 9.75 | MarketCap: 1030730662 | VWAP: 9.793288 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 4.800 | EPS: 0.810000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.992 | Exchange: TSX | 
Dundee Corporation | DC.A | Volume: 23213 | Value: 1.62 | Open: 1.63 | High: 1.64 | SharesOut.: 55701603 | Beta: 1.580 | Prev.Close: 1.61 | Low: 1.61 | MarketCap: 90236597 | VWAP: 1.624526 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.680000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.162 | Exchange: TSX | 
Dundee Precious Metals Inc. | DPM | Volume: 155852 | Value: 3.28 | Open: 3.31 | High: 3.38 | SharesOut.: 178492566 | Beta: 3.540 | Prev.Close: 3.31 | Low: 3.19 | MarketCap: 585455616 | VWAP: 3.272248 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 29.200 | EPS: 0.120000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.707 | Exchange: TSX | 
DXI Energy Inc. | DXI | Volume: 80600 | Value: 0.07 | Open: 0.07 | High: 0.07 | SharesOut.: 103606088 | Beta: 2.263 | Prev.Close: 0.065 | Low: 0.07 | MarketCap: 7252426 | VWAP: 0.07 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.060000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 7.000 | Exchange: TSX | 
Dynacor Gold Mines Inc. | DNG | Volume: 17637 | Value: 1.75 | Open: 1.77 | High: 1.78 | SharesOut.: 39731444 | Beta: 0.432 | Prev.Close: 1.77 | Low: 1.75 | MarketCap: 69530027 | VWAP: 1.763977 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 11.600 | EPS: 0.130000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.962 | Exchange: TSX | 
Dynamic iShares Active Canadian Dividend ETF | DXC | Volume: 675 | Value: 22.04 | Open: 22.17 | High: 22.17 | SharesOut.: 650000 | Beta: 0.725 | Prev.Close: 22.18 | Low: 22.04 | MarketCap: 14326000 | VWAP: 22.075 | Dividend: 0.040CAD | Div.Frequency: Monthly | P/ERatio: 15.900 | EPS: N/A | Yield: 2.178 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.920 | Exchange: TSX | 
Dynamic iShares Active Crossover Bond ETF | DXO | Volume: 0 | Value: 19.69 | Open: N/A | High: N/A | SharesOut.: 1000000 | Beta: 0.077 | Prev.Close: 19.69 | Low: N/A | MarketCap: 19690000 | VWAP: N/A | Dividend: 0.057CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.262 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
Dynamic iShares Active Global Dividend ETF | DXG | Volume: 4300 | Value: 27.80 | Open: 28.03 | High: 28.03 | SharesOut.: 3150000 | Beta: 0.223 | Prev.Close: 27.98 | Low: 27.75 | MarketCap: 87570000 | VWAP: 27.861905 | Dividend: 0.014CAD | Div.Frequency: Monthly | P/ERatio: 34.400 | EPS: N/A | Yield: 0.050 | Ex-DivDate: 12/28/2017 | P/BRatio: 5.260 | Exchange: TSX | 
