Sierra Wireless, Inc. | SW | Volume: 88129 | Value: 21.28 | Open: 21.29 | High: 21.48 | SharesOut.: 35980133 | Beta: 2.052 | Prev.Close: 21.29 | Low: 21.15 | MarketCap: 765657230 | VWAP: 21.284851 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.130000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.248 | Exchange: TSX | 
Silver Bear Resources plc | SBR | Volume: 14 | Value: 0.24 | Open: 0.00 | High: 0.00 | SharesOut.: 670377513 | Beta: 2.950 | Prev.Close: 0.24 | Low: 0.00 | MarketCap: 160890603 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 439.670 | Exchange: TSX | 
Silver Bull Resources, Inc. | SVB | Volume: 220100 | Value: 0.18 | Open: 0.165 | High: 0.18 | SharesOut.: 204739342 | Beta: 1.565 | Prev.Close: 0.17 | Low: 0.165 | MarketCap: 36853082 | VWAP: 0.168352 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 4.500 | Exchange: TSX | 
Silvercorp Metals Inc. | SVM | Volume: 111399 | Value: 3.70 | Open: 3.70 | High: 3.76 | SharesOut.: 167105901 | Beta: 3.704 | Prev.Close: 3.73 | Low: 3.69 | MarketCap: 618291834 | VWAP: 3.723144 | Dividend: 0.013USD | Div.Frequency: Semi-Annual | P/ERatio: 9.900 | EPS: 0.360000 | Yield: 0.877 | Ex-DivDate: 06/07/2018 | P/BRatio: 1.412 | Exchange: TSX | 
SIR Royalty Income Fund | SRV.UN | Volume: 1711 | Value: 15.34 | Open: 15.41 | High: 15.41 | SharesOut.: 8375567 | Beta: 0.484 | Prev.Close: 15.41 | Low: 15.34 | MarketCap: 128481198 | VWAP: 15.372143 | Dividend: 0.100CAD | Div.Frequency: Monthly | P/ERatio: 14.500 | EPS: 1.170000 | Yield: 7.823 | Ex-DivDate: 06/20/2018 | P/BRatio: 1.419 | Exchange: TSX | 
Skylon Growth & Income Trust | SKG.UN | Volume: 800 | Value: 7.91 | Open: 7.91 | High: 7.91 | SharesOut.: 5211911 | Beta: 0.655 | Prev.Close: 7.91 | Low: 7.91 | MarketCap: 41226216 | VWAP: 7.91 | Dividend: 0.058CAD | Div.Frequency: Monthly | P/ERatio: 9.600 | EPS: 0.810000 | Yield: 8.849 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.960 | Exchange: TSX | 
Slate Office REIT | SOT.DB | Volume: 0 | Value: 100.60 | Open: N/A | High: N/A | SharesOut.: 287500 | Beta: 0.047 | Prev.Close: 100.60 | Low: N/A | MarketCap: 28922500 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Slate Retail REIT | SRT.U | Volume: 1100 | Value: 9.70 | Open: 9.70 | High: 9.70 | SharesOut.: 43257378 | Beta: 1.048 | Prev.Close: 9.73 | Low: 9.70 | MarketCap: 419596567 | VWAP: 9.700000 | Dividend: 0.070USD | Div.Frequency: Monthly | P/ERatio: 6.600 | EPS: N/A | Yield: 8.660 | Ex-DivDate: 06/28/2018 | P/BRatio: 5.511 | Exchange: TSX | 
Sleep Country Canada Holdings Inc. | ZZZ | Volume: 64172 | Value: 32.81 | Open: 33.33 | High: 33.46 | SharesOut.: 37009179 | Beta: 0.880 | Prev.Close: 33.31 | Low: 32.64 | MarketCap: 1214271163 | VWAP: 32.864811 | Dividend: 0.185CAD | Div.Frequency: Quarterly | P/ERatio: 21.100 | EPS: 1.580000 | Yield: 2.255 | Ex-DivDate: 05/18/2018 | P/BRatio: 4.458 | Exchange: TSX | 
SmartCentres Real Estate Investment Trust | SRU.DB.B | Volume: 52000 | Value: 100.00 | Open: 100.02 | High: 100.02 | SharesOut.: 372500 | Beta: 0.288 | Prev.Close: 100.35 | Low: 100.00 | MarketCap: 37250000 | VWAP: 100.003076 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
SNC-Lavalin Group Inc. | SNC | Volume: 442777 | Value: 58.19 | Open: 58.72 | High: 59.37 | SharesOut.: 175531055 | Beta: 0.970 | Prev.Close: 58.68 | Low: 57.86 | MarketCap: 10214152090 | VWAP: 58.362005 | Dividend: 0.287CAD | Div.Frequency: Quarterly | P/ERatio: 26.600 | EPS: 2.190000 | Yield: 1.973 | Ex-DivDate: 05/16/2018 | P/BRatio: 2.018 | Exchange: TSX | 
SolGold plc | SOLG | Volume: 218000 | Value: 0.375 | Open: 0.36 | High: 0.375 | SharesOut.: 1696245686 | Beta: 0.243 | Prev.Close: 0.365 | Low: 0.36 | MarketCap: 636092132 | VWAP: 0.361583 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Solitario Zinc Corp. | SLR | Volume: 22400 | Value: 0.50 | Open: 0.51 | High: 0.51 | SharesOut.: 58395366 | Beta: 2.275 | Prev.Close: 0.51 | Low: 0.495 | MarketCap: 29197683 | VWAP: 0.504405 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.05 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.758 | Exchange: TSX | 
Solium Capital Inc. | SUM | Volume: 31684 | Value: 11.48 | Open: 11.63 | High: 11.65 | SharesOut.: 55925337 | Beta: 0.529 | Prev.Close: 11.63 | Low: 11.42 | MarketCap: 642022869 | VWAP: 11.516171 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 202.100 | EPS: 0.130000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.189 | Exchange: TSX | 
Soundvest Split Trust | BSD.PR.A | Volume: 0 | Value: 9.78 | Open: N/A | High: N/A | SharesOut.: 1657337 | Beta: 0.459 | Prev.Close: 9.78 | Low: N/A | MarketCap: 16208756 | VWAP: N/A | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 6.135 | Ex-DivDate: 05/30/2018 | P/BRatio: N/A | Exchange: TSX | 
Source Energy Services Ltd. | SHLE | Volume: 22614 | Value: 4.98 | Open: 4.95 | High: 5.01 | SharesOut.: 61551712 | Beta: 5.180 | Prev.Close: 4.90 | Low: 4.94 | MarketCap: 306527526 | VWAP: 4.960822 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.05 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.062 | Exchange: TSX | 
