BMTC Group Inc. | GBT | Volume: 600 | Value: 15.04 | Open: 15.23 | High: 15.24 | SharesOut.: 35066300 | Beta: 0.748 | Prev.Close: 15.24 | Low: 15.04 | MarketCap: 527397152 | VWAP: 15.205 | Dividend: 0.140CAD | Div.Frequency: Semi-Annual | P/ERatio: 10.200 | EPS: 1.360000 | Yield: 1.862 | Ex-DivDate: 07/04/2018 | P/BRatio: 2.528 | Exchange: TSX | 
GoGold Resources Inc. | GGD | Volume: 42000 | Value: 0.42 | Open: 0.415 | High: 0.42 | SharesOut.: 172251481 | Beta: 0.499 | Prev.Close: 0.42 | Low: 0.415 | MarketCap: 72345622 | VWAP: 0.418274 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 1.900 | EPS: 0.230000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.416 | Exchange: TSX | 
Gold Standard Ventures Corp. | GSV | Volume: 143397 | Value: 1.81 | Open: 1.74 | High: 1.83 | SharesOut.: 254254777 | Beta: -0.284 | Prev.Close: 1.75 | Low: 1.73 | MarketCap: 460201146 | VWAP: 1.786518 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.060000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.623 | Exchange: TSX | 
Goldcorp Inc. | G | Volume: 1225403 | Value: 17.76 | Open: 17.83 | High: 17.94 | SharesOut.: 869096876 | Beta: 1.431 | Prev.Close: 17.90 | Low: 17.64 | MarketCap: 15435160518 | VWAP: 17.781391 | Dividend: 0.020USD | Div.Frequency: Quarterly | P/ERatio: 21.500 | EPS: 0.820000 | Yield: 0.584 | Ex-DivDate: 06/13/2018 | P/BRatio: 0.816 | Exchange: TSX | 
Golden Minerals Company | AUMN | Volume: 0 | Value: 0.455 | Open: N/A | High: N/A | SharesOut.: 95083517 | Beta: 4.277 | Prev.Close: 0.455 | Low: N/A | MarketCap: 43263000 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 4.050 | Exchange: TSX | 
Golden Queen Mining Co. Ltd. | GQM | Volume: 71130 | Value: 0.205 | Open: 0.21 | High: 0.215 | SharesOut.: 300101441 | Beta: 0.481 | Prev.Close: 0.21 | Low: 0.205 | MarketCap: 61520795 | VWAP: 0.210775 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.025 | Exchange: TSX | 
Golden Star Resources Ltd. | GSC | Volume: 31765 | Value: 0.87 | Open: 0.87 | High: 0.89 | SharesOut.: 380824555 | Beta: 2.430 | Prev.Close: 0.87 | Low: 0.87 | MarketCap: 331317363 | VWAP: 0.879444 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 6.600 | EPS: 0.130000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 43.500 | Exchange: TSX | 
Goldgroup Mining Inc. | GGA | Volume: 20611 | Value: 0.065 | Open: 0.075 | High: 0.075 | SharesOut.: 185136689 | Beta: 2.592 | Prev.Close: 0.065 | Low: 0.065 | MarketCap: 12033885 | VWAP: 0.06775 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.200000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.083 | Exchange: TSX | 
Goldmining Inc. | GOLD | Volume: 34436 | Value: 0.90 | Open: 0.90 | High: 0.90 | SharesOut.: 135151852 | Beta: 3.910 | Prev.Close: 0.92 | Low: 0.88 | MarketCap: 121636667 | VWAP: 0.893485 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.060000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.636 | Exchange: TSX | 
GoldMoney Inc. | XAU | Volume: 141319 | Value: 3.01 | Open: 2.86 | High: 3.01 | SharesOut.: 76882984 | Beta: -43.939 | Prev.Close: 2.85 | Low: 2.84 | MarketCap: 231417782 | VWAP: 2.920050 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 71.300 | EPS: -0.05 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.433 | Exchange: TSX | 
Goodfellow Inc. | GDL | Volume: 16030 | Value: 8.45 | Open: 7.39 | High: 8.45 | SharesOut.: 8506554 | Beta: 0.741 | Prev.Close: 7.39 | Low: 7.27 | MarketCap: 71880381 | VWAP: 7.626729 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 35.200 | EPS: -0.25 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.665 | Exchange: TSX | 
