5N Plus Inc. | VNP | Volume: 11790 | Value: 3.33 | Open: 3.26 | High: 3.35 | SharesOut.: 84251041 | Beta: 0.579 | Prev.Close: 3.30 | Low: 3.26 | MarketCap: 280555967 | VWAP: 3.318718 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 19.700 | EPS: 0.170000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.914 | Exchange: TSX | 
Vanguard U.S. Dividend Appreciation Index ETF (CAD-hedged) | VGH | Volume: 27392 | Value: 35.74 | Open: 36.13 | High: 36.13 | SharesOut.: 5799000 | Beta: 0.650 | Prev.Close: 35.99 | Low: 35.74 | MarketCap: 207256260 | VWAP: 35.856605 | Dividend: 0.155CAD | Div.Frequency: Quarterly | P/ERatio: 23.500 | EPS: N/A | Yield: 1.382 | Ex-DivDate: 06/28/2018 | P/BRatio: 4.130 | Exchange: TSX | 
Vanguard U.S. Total Market Index ETF | VUN | Volume: 60843 | Value: 50.69 | Open: 50.92 | High: 51.20 | SharesOut.: 26722000 | Beta: 0.467 | Prev.Close: 50.95 | Low: 50.57 | MarketCap: 1354538180 | VWAP: 50.841896 | Dividend: 0.177CAD | Div.Frequency: Quarterly | P/ERatio: 20.300 | EPS: N/A | Yield: 1.280 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.990 | Exchange: TSX | 
Vanguard U.S. Total Market Index ETF (CAD-hedged) | VUS | Volume: 16403 | Value: 53.63 | Open: 54.08 | High: 54.42 | SharesOut.: 12398000 | Beta: 0.832 | Prev.Close: 54.07 | Low: 53.58 | MarketCap: 664904740 | VWAP: 53.986710 | Dividend: 0.193CAD | Div.Frequency: Quarterly | P/ERatio: 20.300 | EPS: N/A | Yield: 1.336 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.990 | Exchange: TSX | 
Vecima Networks Inc. | VCM | Volume: 675 | Value: 8.65 | Open: 8.65 | High: 8.65 | SharesOut.: 22415567 | Beta: 0.326 | Prev.Close: 8.70 | Low: 8.62 | MarketCap: 193894655 | VWAP: 8.638333 | Dividend: 0.055CAD | Div.Frequency: Quarterly | P/ERatio: 19.300 | EPS: 0.880000 | Yield: 2.543 | Ex-DivDate: 05/24/2018 | P/BRatio: 1.021 | Exchange: TSX | 
Velan Inc. | VLN | Volume: 11100 | Value: 14.01 | Open: 14.01 | High: 14.10 | SharesOut.: 6055368 | Beta: 0.110 | Prev.Close: 14.05 | Low: 13.92 | MarketCap: 84835706 | VWAP: 14.007523 | Dividend: 0.030CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -1.050000 | Yield: 0.857 | Ex-DivDate: 06/14/2018 | P/BRatio: 0.721 | Exchange: TSX | 
Verde Agritech Plc | NPK | Volume: 74600 | Value: 0.81 | Open: 0.83 | High: 0.83 | SharesOut.: 40475000 | Beta: 1.992 | Prev.Close: 0.83 | Low: 0.78 | MarketCap: 32784750 | VWAP: 0.807517 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.060000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.266 | Exchange: TSX | 
Vermilion Energy Inc. | VET | Volume: 862283 | Value: 47.35 | Open: 47.00 | High: 47.88 | SharesOut.: 152022077 | Beta: 1.359 | Prev.Close: 46.77 | Low: 46.96 | MarketCap: 7198245346 | VWAP: 47.501578 | Dividend: 0.230CAD | Div.Frequency: Monthly | P/ERatio: 129.900 | EPS: 0.350000 | Yield: 5.829 | Ex-DivDate: 06/28/2018 | P/BRatio: 4.593 | Exchange: TSX | 
VersaBank | VB | Volume: 14045 | Value: 6.98 | Open: 7.00 | High: 7.09 | SharesOut.: 21123559 | Beta: 1.034 | Prev.Close: 7.00 | Low: 6.98 | MarketCap: 147442442 | VWAP: 7.007554 | Dividend: 0.010CAD | Div.Frequency: Quarterly | P/ERatio: 12.700 | EPS: 0.430000 | Yield: 0.573 | Ex-DivDate: 07/05/2018 | P/BRatio: 0.793 | Exchange: TSX | 
Viemed Healthcare, Inc. | VMD | Volume: 77205 | Value: 4.21 | Open: 4.09 | High: 4.33 | SharesOut.: 37909628 | Beta: 0.079 | Prev.Close: 4.15 | Low: 4.09 | MarketCap: 159599534 | VWAP: 4.219100 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 15.100 | EPS: 0.270000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 4.527 | Exchange: TSX | 
Village Farms International, Inc. | VFF | Volume: 374263 | Value: 6.76 | Open: 6.84 | High: 6.95 | SharesOut.: 44472138 | Beta: 2.541 | Prev.Close: 6.88 | Low: 6.42 | MarketCap: 300631653 | VWAP: 6.627505 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 65.200 | EPS: 0.130000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.704 | Exchange: TSX | 
Vista Gold Corp. | VGZ | Volume: 0 | Value: 0.91 | Open: N/A | High: N/A | SharesOut.: 99539949 | Beta: 0.490 | Prev.Close: 0.91 | Low: N/A | MarketCap: 90581354 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.380 | Exchange: TSX | 
