Platinum Group Metals Ltd. | PTM | Volume: 126085 | Value: 0.145 | Open: 0.145 | High: 0.15 | SharesOut.: 283454867 | Beta: 2.573 | Prev.Close: 0.14 | Low: 0.14 | MarketCap: 41100956 | VWAP: 0.145803 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -5.180000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -3.625 | Exchange: TSX | 
Plaza Retail REIT | PLZ.DB.E | Volume: 21000 | Value: 101.75 | Open: 101.51 | High: 101.75 | SharesOut.: 472500 | Beta: 0.082 | Prev.Close: 102.00 | Low: 101.51 | MarketCap: 48076875 | VWAP: 101.658571 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Points International Ltd. | PTS | Volume: 15413 | Value: 22.23 | Open: 21.86 | High: 22.45 | SharesOut.: 14427987 | Beta: 1.059 | Prev.Close: 22.16 | Low: 21.52 | MarketCap: 320734151 | VWAP: 22.289221 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 52.200 | EPS: 0.300000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 5.819 | Exchange: TSX | 
Polaris Infrastructure Inc. | PIF | Volume: 25007 | Value: 13.99 | Open: 14.15 | High: 14.48 | SharesOut.: 15678299 | Beta: -0.568 | Prev.Close: 14.10 | Low: 13.95 | MarketCap: 219339403 | VWAP: 14.118233 | Dividend: 0.150USD | Div.Frequency: Quarterly | P/ERatio: 50.200 | EPS: 0.270000 | Yield: 5.555 | Ex-DivDate: 05/15/2018 | P/BRatio: 0.888 | Exchange: TSX | 
Pollard Banknote Limited | PBL | Volume: 2600 | Value: 21.84 | Open: 21.54 | High: 21.91 | SharesOut.: 25613158 | Beta: 0.380 | Prev.Close: 21.77 | Low: 21.54 | MarketCap: 559391371 | VWAP: 21.743462 | Dividend: 0.030CAD | Div.Frequency: Quarterly | P/ERatio: 26.900 | EPS: 0.710000 | Yield: 0.549 | Ex-DivDate: 06/28/2018 | P/BRatio: 5.557 | Exchange: TSX | 
Polymet Mining Corp. | POM | Volume: 600 | Value: 1.31 | Open: 1.31 | High: 1.31 | SharesOut.: 320402029 | Beta: 0.395 | Prev.Close: 1.31 | Low: 1.31 | MarketCap: 419726658 | VWAP: 1.31 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.05 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.637 | Exchange: TSX | 
Posera Ltd. | PAY | Volume: 172000 | Value: 0.145 | Open: 0.15 | High: 0.15 | SharesOut.: 119796879 | Beta: 1.614 | Prev.Close: 0.15 | Low: 0.14 | MarketCap: 17370547 | VWAP: 0.142907 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 2.500 | EPS: 0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.115 | Exchange: TSX | 
Postmedia Network Canada Corp. | PNC.A | Volume: 0 | Value: 0.98 | Open: N/A | High: N/A | SharesOut.: 61687 | Beta: 1.818 | Prev.Close: 0.98 | Low: N/A | MarketCap: 60453 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 1.800 | EPS: 0.510000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -1.485 | Exchange: TSX | 
Potash Ridge Corporation | PRK | Volume: 277500 | Value: 0.06 | Open: 0.065 | High: 0.065 | SharesOut.: 188545810 | Beta: 4.017 | Prev.Close: 0.06 | Low: 0.06 | MarketCap: 11312749 | VWAP: 0.060235 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.353 | Exchange: TSX | 
Power Corporation of Canada | POW | Volume: 630414 | Value: 29.23 | Open: 29.50 | High: 29.51 | SharesOut.: 416566254 | Beta: 1.024 | Prev.Close: 29.42 | Low: 29.23 | MarketCap: 12176231604 | VWAP: 29.305587 | Dividend: 0.382CAD | Div.Frequency: Quarterly | P/ERatio: 10.600 | EPS: 2.770000 | Yield: 5.228 | Ex-DivDate: 06/07/2018 | P/BRatio: 0.892 | Exchange: TSX | 
Power Financial Corporation | PWF | Volume: 697067 | Value: 30.83 | Open: 31.34 | High: 31.34 | SharesOut.: 713871479 | Beta: 0.956 | Prev.Close: 31.24 | Low: 30.83 | MarketCap: 22008657698 | VWAP: 30.96253 | Dividend: 0.433CAD | Div.Frequency: Quarterly | P/ERatio: 12.300 | EPS: 2.410000 | Yield: 5.618 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.206 | Exchange: TSX | 
PowerShares 1-3 Year Laddered Floating Rate Note Index ETF | PFL | Volume: 1376 | Value: 19.92 | Open: 19.92 | High: 19.92 | SharesOut.: 2600000 | Beta: 0.010 | Prev.Close: 19.93 | Low: 19.92 | MarketCap: 51792000 | VWAP: 19.92 | Dividend: 0.026CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 1.244 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
PowerShares 1-5 Year Laddered Investment Grade Corporate Bond Index ETF | PSB | Volume: 46977 | Value: 17.97 | Open: 17.98 | High: 18.02 | SharesOut.: 32705750 | Beta: 0.059 | Prev.Close: 18.03 | Low: 17.96 | MarketCap: 587722328 | VWAP: 17.987694 | Dividend: 0.053CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.512 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
PowerShares Canadian Dividend Index ETF | PDC | Volume: 7670 | Value: 26.66 | Open: 27.29 | High: 27.29 | SharesOut.: 12800000 | Beta: 0.893 | Prev.Close: 26.81 | Low: 26.64 | MarketCap: 341248000 | VWAP: 26.709859 | Dividend: 0.103CAD | Div.Frequency: Monthly | P/ERatio: 15.500 | EPS: N/A | Yield: 4.659 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.670 | Exchange: TSX | 
PowerShares Canadian Preferred Share Index ETF | PPS | Volume: 499 | Value: 16.45 | Open: 16.45 | High: 16.45 | SharesOut.: 11932427 | Beta: 0.579 | Prev.Close: 16.45 | Low: 16.45 | MarketCap: 196288424 | VWAP: 16.45 | Dividend: 0.057CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.148 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
PowerShares FTSE RAFI Canadian Fundamental Index ETF | PXC | Volume: 2044 | Value: 27.52 | Open: 27.71 | High: 27.71 | SharesOut.: 9448220 | Beta: 1.155 | Prev.Close: 27.85 | Low: 27.52 | MarketCap: 260015014 | VWAP: 27.561111 | Dividend: 0.178CAD | Div.Frequency: Quarterly | P/ERatio: 15.000 | EPS: N/A | Yield: 2.398 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.620 | Exchange: TSX | 
PowerShares FTSE RAFI Canadian Small-Mid Fundamental Index ETF | PZC | Volume: 0 | Value: 20.75 | Open: N/A | High: N/A | SharesOut.: 150000 | Beta: 0.987 | Prev.Close: 20.75 | Low: N/A | MarketCap: 3112500 | VWAP: N/A | Dividend: 0.096CAD | Div.Frequency: Quarterly | P/ERatio: 13.500 | EPS: N/A | Yield: 1.664 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.190 | Exchange: TSX | 
PowerShares FTSE RAFI Global Small-Mid Fundamental ETF | PZW | Volume: 2800 | Value: 27.79 | Open: 27.84 | High: 27.84 | SharesOut.: 600000 | Beta: 0.696 | Prev.Close: 28.24 | Low: 27.79 | MarketCap: 16674000 | VWAP: 27.838214 | Dividend: 0.087CAD | Div.Frequency: Quarterly | P/ERatio: 19.100 | EPS: N/A | Yield: 1.525 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.710 | Exchange: TSX | 
PowerShares FTSE RAFI Global+ Fundamental Index ETF | PXG | Volume: 0 | Value: 23.71 | Open: N/A | High: N/A | SharesOut.: 325000 | Beta: 0.773 | Prev.Close: 23.71 | Low: N/A | MarketCap: 7705750 | VWAP: N/A | Dividend: 0.122CAD | Div.Frequency: Quarterly | P/ERatio: 14.000 | EPS: N/A | Yield: 2.475 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.520 | Exchange: TSX | 
PowerShares FTSE RAFI U.S. Fundamental Index ETF | PXU.F | Volume: 173 | Value: 38.89 | Open: 38.89 | High: 38.89 | SharesOut.: 4050000 | Beta: 0.521 | Prev.Close: 38.88 | Low: 38.89 | MarketCap: 157504500 | VWAP: 38.89 | Dividend: 0.156CAD | Div.Frequency: Quarterly | P/ERatio: 16.200 | EPS: N/A | Yield: 1.502 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.150 | Exchange: TSX | 
PowerShares FTSE RAFI U.S. Fundamental Index ETF II | PXS | Volume: 1800 | Value: 26.18 | Open: 26.18 | High: 26.18 | SharesOut.: 1200000 | Beta: 0.757 | Prev.Close: 26.55 | Low: 26.18 | MarketCap: 31416000 | VWAP: 26.18 | Dividend: 0.105CAD | Div.Frequency: Quarterly | P/ERatio: 16.200 | EPS: N/A | Yield: 1.496 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.150 | Exchange: TSX | 
