A&W Revenue Royalties Income Fund | AW.UN | Volume: 9475 | Value: 32.03 | Open: 32.19 | High: 32.21 | SharesOut.: 12504673 | Beta: 0.833 | Prev.Close: 31.98 | Low: 31.90 | MarketCap: 400524676 | VWAP: 32.005795 | Dividend: 0.138CAD | Div.Frequency: Monthly | P/ERatio: 17.600 | EPS: 1.820000 | Yield: 5.170 | Ex-DivDate: 05/14/2018 | P/BRatio: 3.694 | Exchange: TSX | 
Almaden Minerals Ltd. | AMM | Volume: 5800 | Value: 0.95 | Open: 0.97 | High: 0.97 | SharesOut.: 111639625 | Beta: 0.468 | Prev.Close: 0.97 | Low: 0.95 | MarketCap: 106057644 | VWAP: 0.959 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.05 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.667 | Exchange: TSX | 
Almonty Industries Inc. | AII | Volume: 49219 | Value: 0.96 | Open: 0.95 | High: 0.96 | SharesOut.: 181441893 | Beta: 2.010 | Prev.Close: 0.95 | Low: 0.91 | MarketCap: 174184217 | VWAP: 0.941327 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 95.000 | EPS: 0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.097 | Exchange: TSX | 
AltaGas Ltd. | ALA | Volume: 776941 | Value: 26.36 | Open: 26.44 | High: 26.57 | SharesOut.: 178847544 | Beta: 0.982 | Prev.Close: 26.34 | Low: 26.34 | MarketCap: 4714421260 | VWAP: 26.421788 | Dividend: 0.183CAD | Div.Frequency: Monthly | P/ERatio: 97.600 | EPS: 0.270000 | Yield: 8.308 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.384 | Exchange: TSX | 
Altius Minerals Corporation | ALS | Volume: 43866 | Value: 13.23 | Open: 13.30 | High: 13.305 | SharesOut.: 43215026 | Beta: 1.156 | Prev.Close: 13.20 | Low: 13.17 | MarketCap: 571734794 | VWAP: 13.232765 | Dividend: 0.040CAD | Div.Frequency: Quarterly | P/ERatio: 29.300 | EPS: N/A | Yield: 1.209 | Ex-DivDate: 06/05/2018 | P/BRatio: 1.745 | Exchange: TSX | 
Altus Group Limited | AIF | Volume: 70992 | Value: 29.45 | Open: 29.31 | High: 29.46 | SharesOut.: 39039909 | Beta: 1.123 | Prev.Close: 29.30 | Low: 29.27 | MarketCap: 1149725320 | VWAP: 29.414915 | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: 10.400 | EPS: 2.890000 | Yield: 2.037 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.942 | Exchange: TSX | 
American Core Sectors Dividend Fund | ACZ.UN | Volume: 0 | Value: 12.80 | Open: N/A | High: N/A | SharesOut.: 1391950 | Beta: 0.226 | Prev.Close: 12.80 | Low: N/A | MarketCap: 17816960 | VWAP: N/A | Dividend: 0.046CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 1.350000 | Yield: 4.297 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
American Hotel Income Properties REIT LP | HOT.DB.U | Volume: 80000 | Value: 96.50 | Open: 96.56 | High: 96.56 | SharesOut.: 537625 | Beta: 0.467 | Prev.Close: 96.50 | Low: 95.00 | MarketCap: 51880813 | VWAP: 96.375125 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Americas Silver Corporation | USA | Volume: 25469 | Value: 4.17 | Open: 3.99 | High: 4.24 | SharesOut.: 42366613 | Beta: 4.793 | Prev.Close: 3.95 | Low: 3.98 | MarketCap: 176668776 | VWAP: 4.054842 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.120000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.468 | Exchange: TSX | 
Amerigo Resources Ltd. | ARG | Volume: 3258 | Value: 0.99 | Open: 0.98 | High: 0.99 | SharesOut.: 177200754 | Beta: 2.133 | Prev.Close: 0.97 | Low: 0.98 | MarketCap: 175428746 | VWAP: 0.988 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 12.900 | EPS: 0.090000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.320 | Exchange: TSX | 
Anaconda Mining Inc. | ANX | Volume: 55075 | Value: 0.35 | Open: 0.37 | High: 0.37 | SharesOut.: 107325683 | Beta: 0.484 | Prev.Close: 0.355 | Low: 0.35 | MarketCap: 37563989 | VWAP: 0.355734 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.000 | Exchange: TSX | 
Andrew Peller Limited/Andrew Peller Limitee | ADW.A | Volume: 40103 | Value: 17.60 | Open: 17.55 | High: 18.00 | SharesOut.: 35970547 | Beta: 0.081 | Prev.Close: 17.57 | Low: 17.52 | MarketCap: 633081627 | VWAP: 17.697894 | Dividend: 0.051CAD | Div.Frequency: Quarterly | P/ERatio: 25.100 | EPS: 0.810000 | Yield: 1.165 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.527 | Exchange: TSX | 
Anglo Pacific Group PLC | APY | Volume: 148 | Value: 3.35 | Open: 3.35 | High: 3.35 | SharesOut.: 181380985 | Beta: -2.154 | Prev.Close: 3.36 | Low: 3.35 | MarketCap: 607626300 | VWAP: 3.35 | Dividend: 0.028CAD | Div.Frequency: Semi-Annual | P/ERatio: N/A | EPS: N/A | Yield: 1.675 | Ex-DivDate: 07/05/2018 | P/BRatio: N/A | Exchange: TSX | 
Aphria Inc. | APH | Volume: 5141052 | Value: 11.75 | Open: 12.36 | High: 12.46 | SharesOut.: 210125411 | Beta: 2.071 | Prev.Close: 12.68 | Low: 11.60 | MarketCap: 2468973579 | VWAP: 12.057050 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 60.400 | EPS: 0.170000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.908 | Exchange: TSX | 
Aptose Biosciences Inc. | APS | Volume: 28105 | Value: 5.02 | Open: 5.32 | High: 5.33 | SharesOut.: 31239189 | Beta: 2.002 | Prev.Close: 5.33 | Low: 5.02 | MarketCap: 156820729 | VWAP: 5.140357 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.790000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 8.655 | Exchange: TSX | 
Aquila Resources Inc. | AQA | Volume: 182500 | Value: 0.295 | Open: 0.29 | High: 0.295 | SharesOut.: 332699056 | Beta: 0.999 | Prev.Close: 0.28 | Low: 0.28 | MarketCap: 98146222 | VWAP: 0.289685 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.05 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 14.750 | Exchange: TSX | 
Aralez Pharmaceuticals Inc. | ARZ | Volume: 103826 | Value: 0.49 | Open: 0.51 | High: 0.51 | SharesOut.: 66972742 | Beta: -1.470 | Prev.Close: 0.50 | Low: 0.475 | MarketCap: 32816644 | VWAP: 0.489216 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -2.460000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -3.769 | Exchange: TSX | 
