Theratechnologies Inc. | TH | Volume: 186594 | Value: 11.75 | Open: 11.70 | High: 12.07 | SharesOut.: 76658013 | Beta: 1.595 | Prev.Close: 11.74 | Low: 11.67 | MarketCap: 900731653 | VWAP: 11.791380 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.260000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 21.759 | Exchange: TSX | 
Thomson Reuters Corporation | TRI | Volume: 633426 | Value: 53.27 | Open: 53.73 | High: 53.76 | SharesOut.: 711640953 | Beta: 0.564 | Prev.Close: 53.65 | Low: 53.05 | MarketCap: 37909113566 | VWAP: 53.314881 | Dividend: 0.345USD | Div.Frequency: Quarterly | P/ERatio: 40.100 | EPS: 2.520000 | Yield: 3.356 | Ex-DivDate: 05/16/2018 | P/BRatio: 2.198 | Exchange: TSX | 
Tidewater Midstream and Infrastructure Ltd. | TWM | Volume: 793855 | Value: 1.25 | Open: 1.24 | High: 1.28 | SharesOut.: 329090878 | Beta: 0.368 | Prev.Close: 1.24 | Low: 1.23 | MarketCap: 411363598 | VWAP: 1.259991 | Dividend: 0.010CAD | Div.Frequency: Quarterly | P/ERatio: 62.400 | EPS: 0.030000 | Yield: 3.200 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.926 | Exchange: TSX | 
Timbercreek Financial Corp. | TF | Volume: 51131 | Value: 9.20 | Open: 9.24 | High: 9.25 | SharesOut.: 79285280 | Beta: 0.377 | Prev.Close: 9.20 | Low: 9.18 | MarketCap: 729424576 | VWAP: 9.206514 | Dividend: 0.058CAD | Div.Frequency: Monthly | P/ERatio: 13.500 | EPS: 0.670000 | Yield: 7.500 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.049 | Exchange: TSX | 
Titan Medical Inc. | TMD | Volume: 115451 | Value: 7.78 | Open: 7.53 | High: 9.00 | SharesOut.: 13996277 | Beta: 1.731 | Prev.Close: 7.17 | Low: 7.20 | MarketCap: 108891035 | VWAP: 8.139466 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -4.260000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 8.841 | Exchange: TSX | 
Titan Mining Corporation | TI | Volume: 219898 | Value: 1.37 | Open: 1.45 | High: 1.45 | SharesOut.: 101970757 | Beta: -2.141 | Prev.Close: 1.44 | Low: 1.37 | MarketCap: 139699937 | VWAP: 1.416683 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.210000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.635 | Exchange: TSX | 
TMAC Resources Inc. | TMR | Volume: 67084 | Value: 5.56 | Open: 5.55 | High: 5.62 | SharesOut.: 91753749 | Beta: 1.529 | Prev.Close: 5.65 | Low: 5.49 | MarketCap: 510150844 | VWAP: 5.571022 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.300000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.614 | Exchange: TSX | 
TMX Group Limited | X | Volume: 210353 | Value: 84.18 | Open: 84.46 | High: 85.31 | SharesOut.: 55608468 | Beta: 1.030 | Prev.Close: 84.25 | Low: 83.36 | MarketCap: 4681120836 | VWAP: 84.126474 | Dividend: 0.580CAD | Div.Frequency: Quarterly | P/ERatio: 12.100 | EPS: 6.940000 | Yield: 2.756 | Ex-DivDate: 05/24/2018 | P/BRatio: 1.423 | Exchange: TSX | 
Top 10 Canadian Financial Trust | TCT.UN | Volume: 2200 | Value: 9.34 | Open: 9.40 | High: 9.49 | SharesOut.: 1656719 | Beta: 0.663 | Prev.Close: 9.45 | Low: 9.34 | MarketCap: 15473755 | VWAP: 9.397273 | Dividend: 0.184CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: 0.820000 | Yield: 7.869 | Ex-DivDate: 06/14/2018 | P/BRatio: N/A | Exchange: TSX | 
Top 10 Split Trust | TXT.PR.A | Volume: 1100 | Value: 13.00 | Open: 12.68 | High: 13.00 | SharesOut.: 1112436 | Beta: 0.013 | Prev.Close: 12.70 | Low: 12.66 | MarketCap: 14461668 | VWAP: 12.730909 | Dividend: 0.195CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 6.010 | Ex-DivDate: 06/14/2018 | P/BRatio: N/A | Exchange: TSX | 
Top 20 U.S. Dividend Trust | TUT.UN | Volume: 11700 | Value: 11.37 | Open: 11.39 | High: 11.41 | SharesOut.: 2342774 | Beta: 0.589 | Prev.Close: 11.30 | Low: 11.37 | MarketCap: 26637340 | VWAP: 11.389573 | Dividend: 0.042CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 1.640000 | Yield: 4.401 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
TORC Oil & Gas Ltd. | TOG | Volume: 1064878 | Value: 7.36 | Open: 7.37 | High: 7.54 | SharesOut.: 196657918 | Beta: 2.947 | Prev.Close: 7.28 | Low: 7.34 | MarketCap: 1447402276 | VWAP: 7.459025 | Dividend: 0.022CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.060000 | Yield: 3.587 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.042 | Exchange: TSX | 
Torex Gold Resources Inc. | TXG | Volume: 168877 | Value: 11.60 | Open: 11.65 | High: 11.83 | SharesOut.: 84895703 | Beta: 1.216 | Prev.Close: 11.61 | Low: 11.53 | MarketCap: 984790155 | VWAP: 11.643608 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.190000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.998 | Exchange: TSX | 
Toromont Industries Ltd. | TIH | Volume: 262159 | Value: 56.89 | Open: 56.53 | High: 57.19 | SharesOut.: 81034894 | Beta: 0.752 | Prev.Close: 56.50 | Low: 56.53 | MarketCap: 4610075120 | VWAP: 56.953213 | Dividend: 0.230CAD | Div.Frequency: Quarterly | P/ERatio: 25.000 | EPS: 2.260000 | Yield: 1.617 | Ex-DivDate: 06/07/2018 | P/BRatio: 4.012 | Exchange: TSX | 
Toronto-Dominion Bank (The) | TD | Volume: 3228369 | Value: 76.00 | Open: 76.61 | High: 76.82 | SharesOut.: 1845631873 | Beta: 0.825 | Prev.Close: 76.53 | Low: 75.96 | MarketCap: 140268022348 | VWAP: 76.212414 | Dividend: 0.670CAD | Div.Frequency: Quarterly | P/ERatio: 13.500 | EPS: 5.660000 | Yield: 3.526 | Ex-DivDate: 07/09/2018 | P/BRatio: 1.986 | Exchange: TSX | 
Torstar Corporation | TS.B | Volume: 92000 | Value: 1.28 | Open: 1.31 | High: 1.31 | SharesOut.: 71060772 | Beta: 1.007 | Prev.Close: 1.30 | Low: 1.25 | MarketCap: 90957788 | VWAP: 1.295739 | Dividend: 0.025CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.460000 | Yield: 7.812 | Ex-DivDate: 06/07/2018 | P/BRatio: 0.444 | Exchange: TSX | 
Toscana Energy Income Corporation | TEI | Volume: 17500 | Value: 0.425 | Open: 0.44 | High: 0.44 | SharesOut.: 7070675 | Beta: 2.209 | Prev.Close: 0.445 | Low: 0.41 | MarketCap: 3005037 | VWAP: 0.427429 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.980000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.256 | Exchange: TSX | 
Total Energy Services Inc. | TOT | Volume: 17411 | Value: 11.34 | Open: 11.63 | High: 11.69 | SharesOut.: 46238354 | Beta: 1.159 | Prev.Close: 11.61 | Low: 11.15 | MarketCap: 524342934 | VWAP: 11.492982 | Dividend: 0.060CAD | Div.Frequency: Quarterly | P/ERatio: 232.200 | EPS: -0.05 | Yield: 2.116 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.955 | Exchange: TSX | 
Touchstone Exploration Inc. | TXP | Volume: 211125 | Value: 0.265 | Open: 0.27 | High: 0.29 | SharesOut.: 129021455 | Beta: 2.628 | Prev.Close: 0.275 | Low: 0.265 | MarketCap: 34190686 | VWAP: 0.280012 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 13.800 | EPS: -0.130000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.855 | Exchange: TSX | 
Tourmaline Oil Corp. | TOU | Volume: 618875 | Value: 23.56 | Open: 23.91 | High: 24.08 | SharesOut.: 272083946 | Beta: 1.291 | Prev.Close: 23.64 | Low: 23.48 | MarketCap: 6410297768 | VWAP: 23.756742 | Dividend: 0.090CAD | Div.Frequency: Quarterly | P/ERatio: 16.900 | EPS: 1.400000 | Yield: 1.528 | Ex-DivDate: 06/14/2018 | P/BRatio: 0.875 | Exchange: TSX | 
TransAlta Corporation | TA | Volume: 344663 | Value: 6.36 | Open: 6.40 | High: 6.41 | SharesOut.: 287732567 | Beta: 1.098 | Prev.Close: 6.39 | Low: 6.36 | MarketCap: 1829979126 | VWAP: 6.374244 | Dividend: 0.040CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.430000 | Yield: 2.516 | Ex-DivDate: 05/31/2018 | P/BRatio: 0.753 | Exchange: TSX | 
TransAlta Renewables Inc. | RNW | Volume: 358995 | Value: 12.42 | Open: 12.45 | High: 12.50 | SharesOut.: 262372210 | Beta: 0.827 | Prev.Close: 12.44 | Low: 12.39 | MarketCap: 3258662848 | VWAP: 12.438620 | Dividend: 0.078CAD | Div.Frequency: Monthly | P/ERatio: 62.200 | EPS: 0.040000 | Yield: 7.568 | Ex-DivDate: 07/12/2018 | P/BRatio: 1.495 | Exchange: TSX | 
Transat A.T. Inc. | TRZ | Volume: 138735 | Value: 8.58 | Open: 8.30 | High: 8.96 | SharesOut.: 37454244 | Beta: 0.543 | Prev.Close: 8.31 | Low: 8.23 | MarketCap: 321357414 | VWAP: 8.723802 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 1.800 | EPS: 4.320000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.550 | Exchange: TSX | 
TransAtlantic Petroleum Ltd. | TNP | Volume: 100 | Value: 1.99 | Open: 1.99 | High: 1.99 | SharesOut.: 50383870 | Beta: 2.897 | Prev.Close: 1.95 | Low: 1.99 | MarketCap: 100263901 | VWAP: 1.99 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.650000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -4.326 | Exchange: TSX | 
TransCanada Corporation | TRP | Volume: 2146447 | Value: 57.12 | Open: 57.48 | High: 57.49 | SharesOut.: 890992613 | Beta: 0.665 | Prev.Close: 57.16 | Low: 56.78 | MarketCap: 50893498055 | VWAP: 57.049739 | Dividend: 0.690CAD | Div.Frequency: Quarterly | P/ERatio: 16.200 | EPS: 3.530000 | Yield: 4.832 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.296 | Exchange: TSX | 
Transcontinental Inc. | TCL.A | Volume: 305938 | Value: 30.58 | Open: 30.31 | High: 30.83 | SharesOut.: 73850034 | Beta: 0.910 | Prev.Close: 30.44 | Low: 30.31 | MarketCap: 2258334040 | VWAP: 30.581409 | Dividend: 0.210CAD | Div.Frequency: Quarterly | P/ERatio: 9.400 | EPS: 2.940000 | Yield: 2.747 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.812 | Exchange: TSX | 
