Harvest Brand Leaders Plus Income ETF | HBF | Volume: 41988 | Value: 8.98 | Open: 9.09 | High: 9.11 | SharesOut.: 10772334 | Beta: 1.266 | Prev.Close: 9.05 | Low: 8.98 | MarketCap: 96735559 | VWAP: 9.054711 | Dividend: 0.054CAD | Div.Frequency: Monthly | P/ERatio: 23.900 | EPS: N/A | Yield: 7.243 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.420 | Exchange: TSX | 
Harvest Energy Leaders Plus Income ETF | HPF | Volume: 6051 | Value: 5.50 | Open: 5.47 | High: 5.55 | SharesOut.: 4652271 | Beta: 1.868 | Prev.Close: 5.44 | Low: 5.47 | MarketCap: 25587491 | VWAP: 5.513333 | Dividend: 0.030CAD | Div.Frequency: Monthly | P/ERatio: 20.100 | EPS: N/A | Yield: 9.633 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.060 | Exchange: TSX | 
Harvest European Leaders Income ETF | HEUR | Volume: 300 | Value: 20.27 | Open: 20.29 | High: 20.29 | SharesOut.: 100000 | Beta: -0.469 | Prev.Close: 20.40 | Low: 20.27 | MarketCap: 2027000 | VWAP: 20.283333 | Dividend: 0.083CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.931 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Harvest Global REIT Leaders Income ETF | HGR | Volume: 0 | Value: 9.64 | Open: N/A | High: N/A | SharesOut.: 500000 | Beta: 0.660 | Prev.Close: 9.64 | Low: N/A | MarketCap: 4820000 | VWAP: N/A | Dividend: 0.046CAD | Div.Frequency: Monthly | P/ERatio: 12.600 | EPS: N/A | Yield: 5.701 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.630 | Exchange: TSX | 
Harvest Global Resource Leaders ETF | HRES | Volume: 2900 | Value: 18.36 | Open: 18.46 | High: 18.46 | SharesOut.: 700000 | Beta: 3.693 | Prev.Close: 18.38 | Low: 18.36 | MarketCap: 12852000 | VWAP: 18.411724 | Dividend: 0.200CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 3.510 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Harvest Healthcare Leaders Income ETF | HHL | Volume: 75342 | Value: 8.05 | Open: 8.15 | High: 8.15 | SharesOut.: 31941390 | Beta: 0.660 | Prev.Close: 8.11 | Low: 8.04 | MarketCap: 257128190 | VWAP: 8.091618 | Dividend: 0.058CAD | Div.Frequency: Monthly | P/ERatio: 28.400 | EPS: N/A | Yield: 8.691 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.220 | Exchange: TSX | 
Harvest Tech Achievers Growth & Income ETF | HTA | Volume: 20319 | Value: 10.21 | Open: 10.46 | High: 10.46 | SharesOut.: 5126729 | Beta: 1.194 | Prev.Close: 10.39 | Low: 10.21 | MarketCap: 52343903 | VWAP: 10.290796 | Dividend: 0.058CAD | Div.Frequency: Monthly | P/ERatio: 31.400 | EPS: N/A | Yield: 6.852 | Ex-DivDate: 06/28/2018 | P/BRatio: 6.680 | Exchange: TSX | 
Harvest US Bank Leaders Income ETF | HUBL | Volume: 1001 | Value: 17.64 | Open: 17.84 | High: 17.84 | SharesOut.: 100000 | Beta: 1.652 | Prev.Close: 17.83 | Low: 17.64 | MarketCap: 1764000 | VWAP: 17.75 | Dividend: 0.083CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 5.667 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Harvest US Equity Plus Income ETF | HUL | Volume: 1200 | Value: 9.13 | Open: 9.13 | High: 9.13 | SharesOut.: 1171723 | Beta: 1.255 | Prev.Close: 9.13 | Low: 9.13 | MarketCap: 10697831 | VWAP: 9.13 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 18.800 | EPS: N/A | Yield: 4.381 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.870 | Exchange: TSX | 
Healthcare Special Opportunities Fund | MDS.UN | Volume: 0 | Value: 12.38 | Open: N/A | High: N/A | SharesOut.: 3983353 | Beta: 1.078 | Prev.Close: 12.38 | Low: N/A | MarketCap: 49313910 | VWAP: N/A | Dividend: 0.057CAD | Div.Frequency: Quarterly | P/ERatio: 9.000 | EPS: 1.300000 | Yield: 1.835 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.153 | Exchange: TSX | 
Helius Medical Technologies, Inc. | HSM | Volume: 2400 | Value: 13.51 | Open: 13.85 | High: 13.85 | SharesOut.: 26872120 | Beta: 2.050 | Prev.Close: 13.46 | Low: 13.40 | MarketCap: 363042341 | VWAP: 13.505417 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.590000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -103.923 | Exchange: TSX | 
Helix BioPharma Corp. | HBP | Volume: 500 | Value: 0.86 | Open: 0.86 | High: 0.86 | SharesOut.: 101976079 | Beta: 0.053 | Prev.Close: 0.85 | Low: 0.86 | MarketCap: 87699428 | VWAP: 0.86 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.080000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -86.000 | Exchange: TSX | 
Heroux-Devtek Inc. | HRX | Volume: 30500 | Value: 15.03 | Open: 15.38 | High: 15.44 | SharesOut.: 36245043 | Beta: 0.087 | Prev.Close: 15.30 | Low: 15.03 | MarketCap: 544762996 | VWAP: 15.213692 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 40.300 | EPS: 0.380000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.436 | Exchange: TSX | 
High Arctic Energy Services Inc. | HWO | Volume: 30922 | Value: 3.84 | Open: 3.83 | High: 3.87 | SharesOut.: 52398038 | Beta: 1.820 | Prev.Close: 3.82 | Low: 3.82 | MarketCap: 201208466 | VWAP: 3.846336 | Dividend: 0.017CAD | Div.Frequency: Monthly | P/ERatio: 13.200 | EPS: 0.380000 | Yield: 5.156 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.863 | Exchange: TSX | 
High Liner Foods Incorporated | HLF | Volume: 43767 | Value: 10.30 | Open: 10.45 | High: 10.47 | SharesOut.: 33383481 | Beta: 1.682 | Prev.Close: 10.40 | Low: 10.25 | MarketCap: 343849854 | VWAP: 10.313683 | Dividend: 0.145CAD | Div.Frequency: Quarterly | P/ERatio: 8.600 | EPS: 1.260000 | Yield: 5.631 | Ex-DivDate: 05/31/2018 | P/BRatio: 0.942 | Exchange: TSX | 
